frase,etiqueta
Emisión en sistema de gestión,Emisión
Se cambio el numero de serie,Cambio
Se hizo la emisión,Emisión
Creación del Sistema de Gestión de la Calidad,Emisión
"Se cambia título del documento, antes Procedimiento de control de piezas master; se agregan definiciones; el desarrollo del procedimiento cambia por completo para cumplir con acciones correctivas de Jafra y Supracare; adición y eliminación de formatos; adición y eliminación de anexos; se actualiza el nombre del formato FO-CAL-53, antes llamado formato de solicitud de muestras o pruebas",Emisión
Modificación de objetivos de calidad,Cambio
"Modificación de objetivos, descripción de revisión de objetivos una vez al año",Cambio
Se generaliza a la persona responsable a realizar la actividad por el puesto responsable de realizarla,Cambio
Se cambia el uso del formato de Quejas y Sugerencias por lo establecido en el procedimiento PRO-VEN-04,Cambio
Se integró el Procedimiento de Control de Registros PRO-SGC-08,Adición
Actualización de la matriz de documentos y responsabilidades,Cambio
"Índice: re-paginación de las cláusulas 6.2.2, 7.3.2 y 7.5.4; corrección del título del Anexo I a Matriz de documentos y responsabilidades, eliminación de la leyenda Matriz de responsabilidades y Matriz de Procedimientos, eliminación del anexo II",Cambio
"Cambio de posición entre texto e imagen en el punto 4.2.1, cláusula b; re-paginación del índice y contenido",Cambio
Cambio de formato del manual de calidad; el jefe de SGC queda como representante de la dirección; cambia el nombre del procedimiento de control de documentos y registros PRO-SGC-01 a Procedimiento de control de documentos PRO-SGC-01,Cambio
"Cambia el nombre de minuta a minuta interna; se corrige el código de la medición de la competencia FO-RHU-06, antes FO-HUM-06",Cambio
"Se adiciona el código INT-COM-01 a la instrucción de trabajo de selección, evaluación y reevaluación de proveedores; se adiciona el procedimiento de inspección de recibo PRO-CAL-01 en el numeral 7.4.3",Adición
Se elimina la verificación de herramientas y refacciones en el numeral 7.4.3,Eliminación
Se corrige la redacción del procedimiento de compras PR-COM-01,Cambio
Cambia el nombre del procedimiento de Quejas y reclamaciones a Quejas y Sugerencias,Cambio
Cambia el nombre del procedimiento de control de cambios a procedimiento de control de cambios en el producto,Cambio
Cambia el nombre del procedimiento de planeación de nuevos productos a procedimiento de planeación del desarrollo de nuevos productos,Cambio
Cambia el nombre de Procedimiento de Almacén de materia prima y Producto terminado a Procedimiento de Almacén de materia prima y Producto en proceso en el numeral 7.4.3,Cambio
Se cambia el nombre de Programa Anual de Calibración y Verificación a Programa de calibración y/o verificación a equipos de laboratorio FO-CAL-26 A,Cambio
Se cambia el nombre de Instrumento Fuera de uso FO-SGC-27 a Etiqueta de instrumento obsoleto F-SGC-29,Cambio
Se cambia el nombre de Instrumento calibrado a calibración,Cambio
Adición de las entradas de la revisión por la dirección de acuerdo a la norma ISO 9001:2015,Adición
Emisión inicial,Emisión
Adición del significado de las abreviaturas LTE y FBOG; adición de las opciones de aprobación de la muestra; adición de una nota informativa para el cliente,Adición
"Emisión, total de artes 89, con un total de 12 hojas",Emisión
"Se añaden 3 artes, código de cliente: 10010030 (FRUN-008), 10010019 (FRHN-1245)",Adición
"Se añade 1 arte, código de cliente: 10010097 (FRTN-863)",Adición
La columna cambia de código vial a código cliente,Cambio
"Se añaden 9 artes, código de cliente: 10010499 (FRWN-5351), 10010398 (FRWN-5362), 10010501 (FRWN-5372), 10010179 (FRWN-5340), 10010415 (FRTN-280), 10010416 (FRTN-824), 10010417 (FRTN-828), 10010508 (FRHN-1281), 10010509 (FRHN-1271)",Adición
"Se añade un arte, código de cliente: 10010886 (FRHN-1291)",Adición
"Se añaden 4 artes, código de cliente: 10010565 (FRTN-882), 10010575 (FRTN-892), 10010574 (FRTN-872), 10010830 (FRHN-1301)",Adición
"Se añaden 4 artes, código de cliente: 10010567 (FRTN-972), 10010568 (FRTN-982), 10010571 (FRTN-952), 10010573 (FRTN-962)",Adición
"Se añaden 3 artes, código de cliente: 10010843 (FRWN-5441), 10010844 (FRWN-5436), 10010845 (FRWN-5431)",Adición
Emisión inicial con la finalidad de controlar los cambios que se realizan a las etiquetas de producto terminado,Emisión
"Se añaden 9 artes, código de cliente: 10011305 (FRTN-1004), 10012285 (FRHN-1361), 10011561 (FRHN-1412), 10011562 (FRHN-1422), 10011563 (FRHN-1432), 10011564 (FRHN-1442), 10011566 (FRHN-1392), 10011560 (FRHN-1382)",Adición
"Se añade 1 arte, código de cliente: 10012497 (FRWN-5523)",Adición
"Se añaden 7 artes, código de cliente: 10011105 (FRHN-1312), 10011028 (FRHN-1317), 10011029 (FRWN-5417), 10011101 (FRHN-1321), 10011102 (FRWN-5412), 10011103 (FRWN-5407), 10011104 (FRWN-5392)",Adición
"Se añade 1 arte, código de cliente: 10011027 (FRHN-5397)",Adición
"Se añaden 3 artes, código de cliente: 10011495 (FRHN-1338), 10011496 (FRHN-1334), 10011497 (FRHN-1330)",Adición
"Se cambia el título del documento, antes Artes de probetas para el cliente Jafra",Cambio
"Se añaden 6 artes, código de cliente: 10011863 (FRTN-1037), 10011862 (FRTN-1032), 10011901 (FRTN-1042), 10011569 (FRWN-5461), 10011570 (FRWN-1351), 10011661 (FRWN-5451)",Adición
"Se añaden 5 artes, código de cliente: 10012012 (FRWN-5481), 10012013 (FRWN-5471), 10012014 (FRWN-5511), 10012015 (FRWN-5501), 10012016 (FRWN-5491)",Adición
"Se añadieron 6 artes, código de cliente: 10010414 (FRTN-848), 10010565 (FRTN-882), 10010572 (FRTN-892), 10010574 (FRTN-872), 10010576 (FRTN-902), 10010506 (FRHN-1261)",Adición
"Se elimina el dato LTE así como el significado de la abreviatura, ya que el término LTE no se utiliza, quedando como dato correcto FBOG",Eliminación
"Se agregan los apartados de variante, firma, tipo de tubo, inicio de vigencia y fin de vigencia; se coloca una nota que menciona que la vigencia de los estándares es de 2 años a partir de la fecha de aprobación, de acuerdo con el procedimiento PRO-CAL-07; se adiciona el nombre del documento para permitir su adecuada identificación; se realiza la etiqueta y el instructivo en idioma inglés",Adición
Se elimina el procedimiento de Manejo de No Conformidades PRO-SGC-11 por quedar obsoleto,Eliminación
Se elimina el anexo III del manual de calidad,Eliminación
Se elimina la actividad de revisión mensual del tablero de indicadores,Eliminación
Se elimina el requisito de firma del supervisor en el formato FO-CAL-15,Eliminación
Se elimina la columna de observaciones en el formato de inspección FO-CAL-22,Eliminación
Se borra el punto 8.3 por no aplicar a los procesos actuales,Eliminación
Se elimina la referencia al proveedor anterior en el procedimiento de compras PRO-COM-02,Eliminación
Se elimina el formato de bitácora de mantenimiento FO-MAN-04 por sustitución digital,Eliminación
"Se cambia el responsable de la revisión de objetivos, ahora a cargo del Gerente de Calidad",Cambio
"Se corrige el número de revisión del procedimiento PRO-SGC-05, antes decía Rev. 2, ahora Rev. 3",Cambio
